<TICKER>,<DATA>,<VOLUME>,<ABERTURA>,<MAXIMO>,<MINIMO>,<FECHO>
PTC,20000103,4237000,90.419,93.014,85.149,86.446
PTC,20000104,4657100,83.932,85.878,79.472,81.094
PTC,20000105,5579700,79.391,79.797,74.687,76.228
PTC,20000106,5053800,77.688,82.311,75.011,82.311
PTC,20000107,6160200,84.905,86.690,83.608,85.959
PTC,20000110,6611000,89.203,90.014,87.662,88.960
PTC,20000111,2855600,89.203,89.203,86.528,87.338
PTC,20000112,4435700,84.662,87.825,84.662,87.581
PTC,20000113,11243500,93.258,94.961,90.988,92.609
PTC,20000114,10241800,94.880,101.367,93.664,98.772
PTC,20000117,4100600,102.989,103.800,99.340,100.962
PTC,20000118,5910100,101.286,102.908,100.800,102.098
PTC,20000119,4123200,101.773,101.773,99.097,100.151
PTC,20000120,4036500,100.070,100.476,96.096,96.096
PTC,20000121,2577200,97.800,97.881,94.880,94.880
PTC,20000124,3250400,97.312,100.557,96.664,99.989
PTC,20000125,5565000,97.312,99.664,95.772,99.664
PTC,20000126,4597200,99.745,101.124,99.016,100.557
PTC,20000127,5196000,101.367,103.395,101.205,102.989
PTC,20000128,4172300,103.638,103.638,99.502,102.179
PTC,20000131,3393000,101.124,102.584,98.934,98.934
PTC,20000201,4350800,102.098,102.179,98.448,100.881
PTC,20000202,4075400,99.259,100.962,98.691,99.259
PTC,20000203,6271300,100.394,102.098,99.745,101.286
PTC,20000204,8279500,103.800,110.693,103.800,108.260
PTC,20000207,6599300,109.396,114.342,108.665,112.072
PTC,20000208,9923900,115.559,117.343,112.153,116.775
PTC,20000209,7458600,127.318,127.723,113.613,113.613
PTC,20000210,6267700,111.910,119.613,111.504,116.370
PTC,20000211,7662600,119.613,121.316,116.775,120.506
PTC,20000214,7529900,121.560,125.290,118.803,118.803
PTC,20000215,4431200,121.235,121.397,112.801,113.370
PTC,20000216,6816600,119.208,119.208,110.450,111.748
PTC,20000217,6712600,109.558,118.154,109.477,115.477
PTC,20000218,4373700,116.775,117.343,115.477,117.099
PTC,20000221,2420900,113.937,115.883,112.964,115.315
PTC,20000222,4189800,117.667,119.451,116.370,116.370
PTC,20000223,5988700,120.425,122.857,118.073,122.452
PTC,20000224,7501900,126.101,126.993,119.775,122.452
PTC,20000225,5865300,124.317,125.777,122.452,123.749
PTC,20000228,3428500,124.073,124.073,120.019,121.316
PTC,20000229,4144200,122.452,123.506,118.397,119.775
PTC,20000301,5541200,122.046,123.506,120.100,120.830
PTC,20000302,6586100,121.641,127.885,120.830,126.506
PTC,20000303,8588500,129.750,136.481,127.885,136.481
PTC,20000306,2627900,135.021,136.643,133.075,135.021
PTC,20000308,6423600,130.237,133.075,129.345,132.588
PTC,20000309,5504800,133.967,134.940,125.290,128.777
PTC,20000310,4719300,131.372,132.183,124.073,124.073
PTC,20000313,4690700,122.046,122.857,115.559,120.830
PTC,20000314,3649300,119.613,126.344,119.208,122.695
PTC,20000315,4874200,120.506,123.587,114.342,114.342
